,num_devices,task_data,local_completion_time,energy_consumed,total_weighted_waste,completion_time
260,150,45,1.8430268399776382e-10,7.065966512353709e-06,3.5330754075188534e-06,
261,150,25,1.3671032742311641e-09,5.2413267919439104e-05,2.620731751135667e-05,
262,150,5,7.638229670225327e-10,2.928415034049831e-05,1.4642457081732667e-05,
263,150,25,5.479000118227174e-10,2.1005896667812475e-05,1.0503222283912149e-05,
264,150,5,1.9158512814043403e-10,7.345167581616589e-06,3.6726795833723647e-06,
265,150,35,7.042210794990876e-11,2.699907813113838e-06,1.349989117610894e-06,
266,150,35,1.3487870736201645e-09,5.171104450443746e-05,2.585619664575554e-05,
267,150,15,2.957684087768092e-10,1.133944241340747e-05,5.669869090908123e-06,
268,150,20,1.7486370901883752e-09,6.704086372220499e-05,3.352130617964759e-05,
269,150,25,7.192157231549678e-10,2.7573956627961638e-05,1.3787337921842396e-05,
270,150,20,6.053281152632549e-10,2.3207628335397662e-05,1.1604116831756462e-05,
271,150,5,1.0825674334840329e-09,4.1504470073022324e-05,2.0752776320227904e-05,
272,150,5,1.3494998203697385e-09,5.173837044758185e-05,2.586985997370111e-05,
273,150,45,5.230924863791081e-10,2.0054802846297467e-05,1.0027662969391923e-05,
274,150,45,2.708315731700511e-09,0.00010383390979432909,5.1918309055030394e-05,
275,150,35,2.850339039310281e-09,0.00010927893052748626,5.464089043326279e-05,
276,150,30,5.788759831341428e-10,2.219348206389286e-05,1.1097030469937997e-05,
277,150,25,5.455541737452776e-10,2.0915959761094416e-05,1.0458252657634081e-05,
278,150,5,4.3452776749693765e-10,1.6659326859604677e-05,8.329880693686087e-06,
279,150,45,3.813458573487153e-10,1.4620389672043685e-05,7.310385508950517e-06,
280,150,10,1.6036214623724818e-09,6.14811206534199e-05,3.074136213744114e-05,
281,150,30,2.2419836440285828e-10,8.59552395348888e-06,4.297874075926641e-06,
282,150,25,1.7279588315990399e-09,6.624808154694482e-05,3.312490475288821e-05,
283,150,45,1.8426005635793793e-09,7.064332214529192e-05,3.532258237292775e-05,
284,150,45,4.872644687898066e-10,1.868119521889528e-05,9.340841241682035e-06,
285,150,40,7.358983015769529e-10,2.8213548726744594e-05,1.4107142312523085e-05,
286,150,10,9.902624773526596e-11,3.796559741636326e-06,1.8983293839420307e-06,
287,150,5,3.318924312291976e-10,1.2724398548626785e-05,6.362365220529007e-06,
288,150,45,8.959367369312234e-11,3.4349250065290913e-06,1.7175073001013923e-06,
289,150,35,2.0110753253662315e-09,7.710246315800288e-05,3.8552237116664126e-05,
290,150,35,2.575517210888751e-10,9.874255745701103e-06,4.937256648711096e-06,
291,150,5,7.466339355296017e-10,2.8625141376145313e-05,1.431294400504042e-05,
292,150,40,1.9370769764436768e-10,7.426544611563263e-06,3.7133691596304533e-06,
293,150,5,5.414357793742881e-10,2.075806495414505e-05,1.0379303194962211e-05,
294,150,45,1.7156177181455124e-09,6.577493654169444e-05,3.2888326079706294e-05,
295,150,5,6.23546679210316e-10,2.3906108465804614e-05,1.1953366006241911e-05,
